timestamp,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:15:12,ch4_pct_lel,temperature_c,error_code,rssi,snr
2026-08-28T20:20:39,0.00,28.40,0,-111,8.50
2026-08-28T20:20:40,0.00,28.50,0,-111,8.00
2026-08-28T20:20:41,0.00,28.50,0,-113,7.50
2026-08-28T20:20:42,0.00,28.50,0,-113,8.00
2026-08-28T20:20:43,0.00,28.50,0,-112,8.25
2026-08-28T20:20:44,0.00,28.50,0,-112,8.00
2026-08-28T20:20:45,0.00,28.50,0,-112,8.00
2026-08-28T20:20:46,0.00,28.50,0,-112,8.00
2026-08-28T20:20:47,0.00,28.60,0,-112,8.00
2026-08-28T20:20:49,0.00,28.60,0,-112,8.25
2026-08-28T20:20:50,0.00,28.60,0,-112,8.00
2026-08-28T20:20:51,0.00,28.60,0,-112,8.25
2026-08-28T20:20:52,0.00,28.60,0,-112,8.00
2026-08-28T20:20:53,0.00,28.60,0,-112,7.75
2026-08-28T20:20:54,0.00,28.60,0,-112,8.00
2026-08-28T20:20:55,0.00,28.70,0,-112,8.50
2026-08-28T20:20:56,0.00,28.70,0,-112,8.25
2026-08-28T20:20:57,0.00,28.70,0,-112,8.00
2026-08-28T20:20:58,0.00,28.70,0,-112,8.50
2026-08-28T20:21:00,0.00,28.70,0,-112,7.75
2026-08-28T20:21:01,0.00,28.70,0,-112,7.75
2026-08-28T20:21:02,0.00,28.70,0,-113,7.75
2026-08-28T20:21:03,0.00,28.80,0,-119,3.50
2026-08-28T20:21:04,0.00,28.80,0,-119,3.50
2026-08-28T20:21:05,0.00,28.80,0,-118,4.25
2026-08-28T20:21:06,0.00,28.80,0,-117,4.75
2026-08-28T20:21:07,0.00,28.80,0,-117,5.25
2026-08-28T20:21:08,0.00,28.80,0,-117,5.75
2026-08-28T20:21:09,0.00,28.80,0,-116,5.50
2026-08-28T20:21:10,0.00,28.80,0,-116,5.75
2026-08-28T20:21:12,0.00,28.80,0,-116,6.00
2026-08-28T20:21:13,0.00,28.90,0,-116,6.00
2026-08-28T20:21:14,0.00,28.90,0,-116,6.50
2026-08-28T20:21:15,0.00,28.90,0,-116,6.00
2026-08-28T20:21:16,0.00,28.90,0,-116,6.25
2026-08-28T20:21:17,0.00,28.90,0,-115,6.25
2026-08-28T20:21:18,0.00,28.90,0,-115,6.75
2026-08-28T20:21:19,0.00,28.90,0,-116,6.25
2026-08-28T20:21:20,0.00,28.90,0,-116,5.75
2026-08-28T20:21:21,0.00,28.90,0,-116,6.25
2026-08-28T20:21:22,0.00,28.90,0,-116,6.75
2026-08-28T20:21:24,0.00,29.00,0,-115,6.50
2026-08-28T20:21:25,0.00,29.00,0,-115,6.50
2026-08-28T20:21:26,0.00,29.00,0,-115,6.50
2026-08-28T20:21:27,0.00,29.00,0,-115,6.25
2026-08-28T20:21:28,0.00,29.00,0,-115,6.50
2026-08-28T20:21:29,0.00,29.00,0,-115,6.50
2026-08-28T20:21:30,0.00,29.00,0,-116,6.25
2026-08-28T20:21:31,0.00,29.00,0,-115,6.50
2026-08-28T20:21:32,0.00,29.10,0,-115,6.25
2026-08-28T20:21:33,0.00,29.10,0,-115,6.25
2026-08-28T20:21:34,0.00,29.10,0,-116,6.00
2026-08-28T20:21:36,0.00,29.10,0,-115,6.25
2026-08-28T20:21:37,0.00,29.10,0,-116,6.00
2026-08-28T20:21:38,0.00,29.10,0,-117,5.50
2026-08-28T20:21:39,0.00,29.10,0,-117,5.50
2026-08-28T20:21:40,0.00,29.10,0,-116,5.50
2026-08-28T20:21:41,0.00,29.20,0,-116,5.50
2026-08-28T20:21:42,0.00,29.20,0,-117,5.50
2026-08-28T20:21:43,0.00,29.20,0,-117,5.50
2026-08-28T20:21:44,0.00,29.20,0,-116,5.50
2026-08-28T20:21:45,0.00,29.20,0,-116,5.75
2026-08-28T20:21:47,0.00,29.20,0,-116,5.75
2026-08-28T20:21:48,0.00,29.20,0,-117,5.75
2026-08-28T20:21:49,0.00,29.20,0,-116,5.25
2026-08-28T20:21:50,0.00,29.20,0,-117,5.50
2026-08-28T20:21:51,0.00,29.20,0,-117,5.50
2026-08-28T20:21:52,0.00,29.30,0,-117,5.50
